,Train Snippets - True Neg,Train Snippets - False Neg,Train Snippets - True Pos,Train Snippets - False Pos,Train Snippets - Non-Prog Accuracy,Train Snippets - Prog Accuracy,Train Songs - True Neg,Train Songs - False Neg,Train Songs - True Pos,Train Songs - False Pos,Train Songs - Non-Prog Accuracy,Train Songs - Prog Accuracy,Test Snippets - True Neg,Test Snippets - False Neg,Test Snippets - True Pos,Test Snippets - False Pos,Test Snippets - Non-Prog Accuracy,Test Snippets - Prog Accuracy,Test Songs - True Neg,Test Songs - False Neg,Test Songs - True Pos,Test Songs - False Pos,Test Songs - Non-Prog Accuracy,Test Songs - Prog Accuracy,Test Snippets - Overall Accuracy,Test Songs - Overall Accuracy
output/model/acoustic_long,18621.8,24.3,19747.7,41.2,0.9977924235117612,0.9987709892777665,359.0,0.0,142.0,0.0,1.0,1.0,6893.1,4727.0,9384.0,2931.9,0.7015877862595421,0.6650131103394514,125.5,30.6,104.4,27.5,0.8202614379084967,0.7733333333333333,0.6800259024064171,0.7982638888888889
output/model/deepbaseline,9510.9,0.2,9956.800000000001,0.1,0.9999894858584798,0.999979913628603,359.0,0.0,142.0,0.0,1.0,1.0,3392.5,2404.2000000000003,4718.8,1596.5,0.6799959911805973,0.662473676821564,118.6,26.0,109.0,34.4,0.7751633986928105,0.8074074074074076,0.669691215323646,0.7902777777777777
output/model/deepbaseline_long,18663.0,0.1,19771.9,0.0,1.0,0.9999949423427068,359.0,0.0,142.0,0.0,1.0,1.0,6881.2,4815.2,9295.8,2943.8,0.7003765903307888,0.6587626674225782,118.6,27.7,107.3,34.4,0.7751633986928104,0.7948148148148148,0.6758439171122995,0.784375
output/model/acoustic,9385.800000000001,99.0,9858.0,125.2,0.9868362948165283,0.9900572461584815,358.59999999999997,0.0,142.0,0.4,0.9988857938718663,1.0,3545.4,2453.1,4669.900000000001,1443.6000000000001,0.7106434155141309,0.6556085918854415,123.9,27.6,107.4,29.1,0.8098039215686275,0.7955555555555556,0.6782777410832233,0.8031249999999999
output/model/genre_long,18579.2,73.0,19699.0,83.8,0.9955098322884852,0.9963079101760066,358.8,0.0,142.0,0.2,0.9994428969359331,1.0,4749.5,6835.4,7275.6,5075.5,0.48340966921119594,0.5155977606122883,60.8,50.2,84.8,92.2,0.3973856209150327,0.6281481481481481,0.5023855280748664,0.5055555555555555
output/model/resnet,9422.6,30.0,9927.0,88.39999999999999,0.9907054988960152,0.9969870442904489,359.0,0.1,141.9,0.0,1.0,0.9992957746478872,3439.2,2123.0,5000.0,1549.8,0.6893565844858689,0.7019514249613926,120.4,22.099999999999998,112.9,32.6,0.7869281045751634,0.8362962962962961,0.6967635402906209,0.8100694444444443
output/model/baseline,9510.056473829201,2.887052341597796,9954.112947658403,0.9435261707988981,0.9999007963231207,0.9997100479721204,359.0,0.0,142.0,0.0,1.0,1.0,3237.5550964187332,2311.6666666666665,4811.333333333333,1751.4449035812672,0.6489386843894033,0.6754644578595159,111.96143250688705,16.926997245179063,118.07300275482093,41.03856749311295,0.7317740686724643,0.8746148352208958,0.6645383445964388,0.7987306779920416
output/model/resnet_long,18655.3,0.7,19771.3,7.7,0.9995874189572952,0.999964596398948,359.0,0.0,142.0,0.0,1.0,1.0,6717.2,4275.4,9835.6,3107.8,0.6836844783715011,0.6970165119410389,117.2,20.6,114.4,35.8,0.7660130718954249,0.8474074074074073,0.6915441176470588,0.8041666666666666
output/model/genre,9511.0,0.0,9957.0,0.0,1.0,1.0,359.0,0.0,142.0,0.0,1.0,1.0,3335.1,2393.9,4729.099999999999,1653.9,0.6684906794948887,0.6639196967569844,114.7,21.5,113.5,38.300000000000004,0.7496732026143792,0.8407407407407409,0.6658025099075298,0.7923611111111111
output/model/modifiedbaseline_long,18406.8,3.5,19768.5,256.2,0.9862723034881853,0.9998229819947401,358.4,0.0,142.0,0.6,0.9983286908077995,1.0,6886.7,5190.5,8920.5,2938.3,0.7009363867684477,0.6321663950109844,121.7,35.5,99.5,31.3,0.7954248366013071,0.737037037037037,0.660394385026738,0.7680555555555555
output/model/depthwisebaseline,9505.9,10.1,9946.9,5.1000000000000005,0.9994637787824623,0.9989856382444512,359.0,0.0,142.0,0.0,1.0,1.0,3499.3,2469.2000000000003,4653.8,1489.7,0.7014030867909402,0.6533483082970659,120.6,26.0,109.0,32.4,0.788235294117647,0.8074074074074072,0.6731423381770144,0.7972222222222222
output/model/depthwisebaseline_long,18501.7,158.7,19613.3,161.3,0.991357230884638,0.9919734978757837,358.8,0.0,142.0,0.2,0.9994428969359331,1.0,6178.0,3709.1,10401.9,3647.0,0.6288040712468194,0.7371483240025511,104.6,15.4,119.6,48.4,0.6836601307189543,0.8859259259259259,0.6926763034759359,0.7784722222222223
output/model/baseline_long,18662.8,0.0,19772.0,0.2,0.9999892836092805,1.0,359.0,0.0,142.0,0.0,1.0,1.0,6494.8,4461.7,9649.3,3330.2,0.6610483460559797,0.683814045779888,114.1,23.8,111.2,38.9,0.7457516339869281,0.8237037037037037,0.6744694184491978,0.7822916666666667
output/model/modifiedbaseline,9478.1,7.1,9949.9,32.9,0.9965408474398064,0.9992869338154062,358.90000000000003,0.0,142.0,0.1,0.9997214484679666,1.0,3320.8,2475.1,4647.900000000001,1668.2,0.6656243736219684,0.6525200056156115,113.8,29.1,105.9,39.199999999999996,0.7437908496732027,0.7844444444444445,0.6579177675033024,0.7628472222222222
